digit=6
2	3.817	0.476574	705	3.437	0.580692	527
10	16.703	0.832005	540	15.590	0.841067	495
20	30.284	0.890974	440	28.775	0.893768	657
30	43.072	0.914847	386	41.283	0.915861	589
40	55.451	0.928428	345	53.434	0.928537	600
50	67.569	0.937302	344	65.354	0.937326	414
60	79.500	0.943789	313	77.110	0.943202	581
70	91.289	0.948631	322	88.739	0.948052	473
80	102.964	0.952531	308	100.268	0.951829	461
90	114.547	0.955741	287	111.713	0.954911	465
100	126.051	0.958374	287	123.089	0.957485	480
110	137.488	0.960641	278	134.405	0.959761	428
120	148.867	0.962547	289	145.669	0.961693	416
130	160.195	0.964278	274	156.886	0.963383	408
140	171.476	0.965788	269	168.063	0.964876	406
150	182.717	0.967164	253	179.203	0.966184	425
160	193.921	0.968372	249	190.310	0.967431	384
170	205.091	0.969462	247	201.386	0.968521	381
180	216.231	0.970453	245	212.434	0.969489	400
190	227.341	0.971370	240	223.457	0.970416	382
200	238.426	0.972188	244	234.456	0.971255	379
210	249.486	0.972981	234	245.433	0.972017	389
220	260.524	0.973695	232	256.389	0.972759	367
230	271.540	0.974470	196	267.327	0.973428	365
240	282.535	0.974989	226	278.246	0.974061	356
250	293.513	0.975561	227	289.149	0.974640	360
260	304.473	0.976103	227	300.035	0.975206	345
270	315.417	0.976623	222	310.907	0.975803	289
280	326.345	0.977096	224	321.764	0.976227	331
290	337.257	0.977543	226	332.607	0.976673	343
300	348.156	0.978002	213	343.438	0.977129	326
310	359.041	0.978411	212	354.257	0.977535	332
320	369.913	0.978787	216	365.063	0.977922	338
330	380.774	0.979173	208	375.859	0.978320	318
340	391.622	0.979498	218	386.644	0.978674	320
350	402.458	0.979863	205	397.418	0.979002	332
360	413.285	0.980164	212	408.183	0.979332	329
370	424.100	0.980494	202	418.939	0.979662	313
380	434.905	0.980784	203	429.685	0.979966	309
390	445.702	0.981197	161	440.422	0.980255	308
400	456.488	0.981433	169	451.152	0.980535	304
410	467.266	0.981636	186	461.873	0.980798	305
420	478.035	0.981858	196	472.586	0.981056	303
430	488.797	0.982089	199	483.292	0.981304	301
440	499.550	0.982335	193	493.990	0.981532	310
450	510.295	0.982539	201	504.681	0.981766	305
460	521.034	0.982817	176	515.366	0.981984	308
470	531.764	0.982985	190	526.044	0.982217	290
480	542.488	0.983179	193	536.715	0.982421	293
490	553.204	0.983381	190	547.381	0.982620	293
500	563.915	0.983575	187	558.040	0.982817	291
510	574.618	0.983752	189	568.693	0.982999	296
520	585.315	0.983920	193	579.340	0.983198	281
530	596.006	0.984113	184	589.982	0.983372	283
540	606.691	0.984273	187	600.619	0.983548	279
550	617.372	0.984440	184	611.250	0.983853	199
560	628.046	0.984592	185	621.878	0.983869	284
570	638.714	0.984741	187	632.499	0.984037	275
580	649.377	0.984894	185	643.115	0.984192	273
590	660.036	0.985046	181	
