calcBound=1.0000000000000004E-6
215.20	0.9138236397391966	54
215.30	0.9226286314612948	31
215.40	0.9266393693976911	26
215.50	0.9295725351387193	23
215.60	0.9320398261569603	21
215.70	0.9341014259930854	20
215.80	0.9359825771649763	18
215.90	0.9376564729456134	17
216.00	0.9392254927490494	17
216.10	0.9406195313750085	16
216.20	0.9419502263769888	15
216.30	0.9431888462711974	15
216.40	0.9443441168227172	14
216.50	0.9454640292177282	14
216.60	0.9465162196508718	13
216.70	0.947548199152632	13
216.80	0.9485017953536313	12
216.90	0.9493949769918086	12
217.00	0.9502638559594629	12
