calcBound=1.0000000000000004E-6
111.70	0.9563417529150253	59
111.80	0.9636647463054465	28
111.90	0.9670600792252942	23
112.00	0.9695205737916789	19
112.10	0.9715396231928675	17
112.20	0.9732186792823826	16
112.30	0.9746824391466626	14
112.40	0.9759819048516291	14
112.50	0.9771571498850855	13
112.60	0.9782254928305959	12
112.70	0.9792038686671791	11
112.80	0.9800998473649509	11
112.90	0.9809470808158111	11
113.00	0.981722772627397	10
113.10	0.9824594409624651	10
113.20	0.9831381048057967	9
113.30	0.9837843792099825	9
113.40	0.9843959644641453	9
113.50	0.9849709912767443	9
113.60	0.9855193326333196	8
113.70	0.986039775676224	8
113.80	0.9865339244543612	8
113.90	0.987001964262066	8
114.00	0.9874519808511719	8
114.10	0.9878845495162014	7
114.20	0.9882936373532509	7
114.30	0.9886881950210855	7
114.40	0.9890639217687498	7
114.50	0.9894253236278789	7
